TravelDate,EntryTapCount,ExitTapCount
20231125,5241,4520
20231126,3343,3239
20231127,6929,6839
20231128,7665,7460
20231129,7579,7328
20231130,7479,7399
20231201,7374,6988
20231202,5460,4961
20231203,3584,3573
20231204,7137,6928
20231205,7866,7586
20231206,7573,7294
20231207,8077,7077
20231208,7664,7174
20231209,5476,4992
20231210,3596,3574
20231211,7302,6934
20231212,7631,7308
20231213,7687,7334
20231214,7924,7373
20231215,7610,7062
20231216,5565,5107
20231217,4269,4036
20231218,6796,6648
20231219,6853,6516
20231220,7104,6810
20231221,6907,6358
20231222,6528,5982
20231223,5541,5043
20231224,3381,3230
20231227,4237,4011
20231228,4679,4388
20231229,5147,4719
20231230,4300,3854
20231231,3998,3648
20240101,2405,2608
20240102,5214,4629
20240103,5788,5704
20240104,6009,5800
20240105,5852,5750
20240106,4414,4053
20240107,3267,3168
20240108,5814,5622
20240109,6600,6431
20240110,6937,6728
20240111,7130,6815
20240112,6794,6349
20240113,4748,4346
20240114,3111,3037
20240115,6780,6614
20240116,7244,6660
20240117,7273,7107
20240118,7328,7084
20240119,7010,6769
20240120,4657,3995
20240121,3018,2765
20240122,6489,6473
20240123,7217,7117
20240124,7586,7452
20240125,7651,7435
20240126,7438,7145
20240127,4951,4581
20240128,3487,3421
20240129,7203,7011
20240130,7571,7441
20240131,7706,7446
20240201,7955,7717
20240202,7272,6927
20240204,0,2
20240205,7197,6956
20240206,7609,7460
20240207,7591,7382
20240208,7328,6998
20240209,7175,6902
20240210,1,9
20240211,0,3
20240212,7168,6816
20240213,7317,7218
20240214,7633,7256
20240215,7423,7336
20240216,7210,6716
20240217,0,6
20240218,0,8
20240219,6745,6479
20240220,7424,7109
20240221,7020,6775
20240222,7121,6880
20240223,6954,6737
20240226,7007,6595
20240227,7647,7413
20240228,7578,7320
20240229,7470,7097
20240301,7218,6743
20240302,4667,4355
20240303,3090,3112
20240304,7135,6848
20240305,7488,7251
20240306,7596,7434
20240307,7772,7464
20240308,7371,7072
20240309,5240,5019
20240310,3314,3315
20240311,6956,6662
20240312,7251,7001
20240313,7429,7284
20240314,7795,7525
20240315,7242,6819
20240316,5207,4837
20240317,3534,3629
20240318,7202,6939
20240319,7379,7086
20240320,7507,7166
20240321,7740,7450
20240322,7376,7053
20240323,5157,4682
20240324,3280,3142
20240325,6889,6447
20240326,7338,7027
20240327,7205,6997
20240328,7212,6360
20240329,4016,3604
20240330,4077,3732
20240331,2434,2436
20240401,3210,3047
20240402,6720,6233
20240403,6638,6496
20240404,6749,6575
20240405,6570,6303
20240406,5105,4928
20240407,3708,3561
20240408,6359,6103
20240409,6699,6357
20240410,6440,6442
20240411,7233,6874
20240412,7053,6808
20240413,5294,4957
20240414,3651,3525
20240415,7242,6701
20240416,7393,7224
20240417,7636,7418
20240418,7916,7624
20240419,7306,6808
20240420,5322,4805
20240421,3415,3299
20240422,7043,6744
20240423,7505,7259
20240424,7813,7417
20240425,7743,7386
20240426,8285,7116
20240427,5341,4844
20240428,3304,3177
20240429,7228,6917
20240430,7818,7330
20240501,7717,7430
20240502,7625,7153
20240503,7316,6804
20240504,5265,4757
20240505,3900,3658
20240506,3438,3194
20240507,7642,6995
20240508,7620,7210
20240509,7830,7296
20240510,7476,6996
20240511,5781,5309
20240512,3729,3660
20240513,7094,6763
20240514,7546,7204
20240515,7779,7339
20240516,7668,7309
20240517,7445,6930
20240518,5452,4927
20240519,3782,3625
20240520,6960,6795
20240521,7385,7139
20240522,7479,7229
20240523,7750,7393
20240524,7403,6818
20240525,5623,5110
20240526,4261,3946
20240527,4172,4023
20240528,6805,6417
20240529,7279,7030
20240530,6648,4583
20240531,6876,6306
20240601,5010,4473
20240602,3568,3267
20240603,7135,6604
20240604,7507,7203
20240605,7668,7304
20240606,7499,6912
20240607,7373,6969
20240608,5447,5006
20240609,3663,3478
20240610,6823,6576
20240611,7637,7247
20240612,7704,7351
20240613,7493,7210
20240614,7450,7128
20240615,5036,4595
20240616,3739,3570
20240617,6927,6715
20240618,7573,7235
20240619,7637,7127
20240620,7865,7762
20240621,7440,7097
20240622,5760,5273
20240623,3610,3597
20240624,7318,7338
20240625,7670,7584
20240626,7783,7355
20240627,7723,7468
20240628,7525,7118
20240629,6277,5606
20240630,3864,3848
20240701,7282,7044
20240702,7714,7509
20240703,7977,7625
20240704,7938,7545
20240705,6954,6660
20240706,5251,4856
20240707,3830,3752
20240708,7275,7156
20240709,7539,7218
20240710,7993,7643
20240711,8008,7676
20240712,7481,6965
20240713,5700,5283
20240714,4234,3979
20240715,7040,6442
20240716,7612,7269
